County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Autauga County, Alabama,14.7,85.3,21.7,7.1,78.8,30043.21365,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077,42.3,10.45,0.405,14,29.4,16.35,28.9,0.5,11.2,13.55,36.2,-86.6444901,32.5363818,0.305,0.118,0.139,0.065
Baldwin County, Alabama,12.4,87.6,26.8,8.7,74.95,26630.5654,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131,43,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,41,-87.7460666,30.6592183,0.266,0.118,0.166,0.068
Barbour County, Alabama,28.1,71.9,13.5,6,67.85,20663.4527,47.4,46.5,0.35,0.25,0.9,4.7,37.15,21.3,28560,32.5,24.85,0.464,34.15,26.15,14.9,20.1,2.05,8.95,27.9,38,-85.4054562,31.8706701,0.373,0.142,0.189,0.112
Bibb County, Alabama,25.5,74.5,10,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25,38.3,-87.1271475,33.0158929,0.343,0.111,0.16,0.076
Blount County, Alabama,25.3,74.7,12.5,4.2,72.5,27774.18032,89.15,1.05,0.6,0.3,1.2,7.7,16.95,10.8,57063,29,12.2,0.422,15.8,24.1,16.15,24.8,1.2,15.85,17.9,38.3,-86.5672464,33.9774479,0.304,0.14,0.181,0.062
Bullock County, Alabama,25.3,74.7,12,3.7,69.55,20651.69397,22.05,72.45,0.15,0.25,0.35,4.7,54.35,24.25,10915,51.6,28.8,0.533,50.85,19.05,15.45,23.55,5.15,7.75,29.05,38.7,-85.7172613,32.1017589,0.421,0.175,0.157,0.134
Butler County, Alabama,25.2,74.8,11,3.2,74.35,22321.77111,55.4,42.25,0.25,0.7,0.8,0.65,34.2,21.25,20568,34,23.5,0.463,30.65,21.5,16.85,26.55,2.1,9.6,23.45,39.7,-86.6819689,31.751667,0.383,0.16,0.164,0.109
Calhoun County, Alabama,21.5,78.5,16.1,6.4,74.65,24610.49683,74.65,19.9,0.45,0.75,1.4,2.85,30.4,11.1,115770,37.7,18.5,0.453,25.8,28.3,15.75,23.55,0.45,11.65,20.3,38.1,-85.8225133,33.7717061,0.332,0.139,0.169,0.076
Chambers County, Alabama,28.2,71.8,10.8,3.7,73.85,23437.68032,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,40.1,-85.3918121,32.9179433,0.354,0.15,0.179,0.093
Cherokee County, Alabama,26.6,73.4,10.5,4.2,68.8,26915.90349,92,5.1,0.55,0.15,1,1.2,20.7,10.45,25208,24.2,16.1,0.439,24.2,24.6,15.55,20.25,1.4,13.25,25,43.9,-85.6542417,34.0695153,0.314,0.136,0.172,0.071
Chilton County, Alabama,24.1,75.9,12.2,4.8,69.25,26935.60413,82.15,10,0.3,0.2,1.1,6.25,27.15,11.95,42957,42.1,17.8,0.451,25.35,22.75,14,23,0.85,18.6,20.75,37.2,-86.7266275,32.8540595,0.383,0.125,0.202,0.065
Choctaw County, Alabama,28.9,71.1,10.9,4.1,78.8,22625.57683,55.25,43.35,0.05,0.1,0.65,0.55,21.95,20.6,14044,56.9,20.75,0.457,28.1,29.05,12.2,20.3,2.55,17.7,18.1,43.2,-88.2488874,31.9910082,0.389,0.173,0.176,0.09
Clarke County, Alabama,23.9,76.1,13.5,4.9,75.6,25995.8473,54.4,42.65,0.9,0.65,0.7,0.75,31.45,24.15,26135,46.5,27.65,0.523,35.65,26.35,13.15,22.2,2.05,11.55,24.75,38.9,-87.8186244,31.6855211,0.36,0.157,0.184,0.121
Clay County, Alabama,28.6,71.4,9.5,3.1,73.95,27404.52222,80.35,14.55,0.35,0.1,1.95,2.8,28.85,16,13850,55.3,18.25,0.421,21.4,23,11.95,17.65,3.15,15.9,28.35,41.3,-85.862051,33.2678085,0.353,0.147,0.192,0.093
Cleburne County, Alabama,29.7,70.3,8.4,3.7,71.1,21506.56953,92.7,4.35,0.35,0.1,1,1.55,15.7,15.05,14775,58.7,16.75,0.424,21.45,23.6,15.6,19.65,2.45,17.2,21.55,40.1,-85.516109,33.671981,0.313,0.133,0.167,0.069
Coffee County, Alabama,20.7,79.3,22.1,8.5,71.15,26346.66,73.3,17.25,0.95,1.15,2.1,5.25,26.6,13.4,48375,30.8,16.65,0.452,25.7,31.6,13.2,24.35,2,12.65,16.2,37.9,-85.9892014,31.4021833,0.299,0.126,0.173,0.062
Colbert County, Alabama,19.9,80.1,16.4,5.9,74.75,25896.27111,80,16,0.5,0.4,1.35,1.8,28.7,9.2,54487,30.9,14.85,0.435,21.65,27.55,14.9,26.95,0.5,11.45,18.6,41.6,-87.8014569,34.703112,0.322,0.137,0.15,0.076
Conecuh County, Alabama,28.7,71.3,9.7,4.3,73.5,22600.38349,52.7,45.3,0.45,0.05,0.75,0.7,50.25,19.95,13171,32.5,29.8,0.484,45.95,23.7,15.3,24.7,1.2,11.5,23.55,43.4,-86.9920291,31.4282925,0.363,0.177,0.19,0.116
Coosa County, Alabama,26.9,73.1,10.6,4.8,70.05,23083.6273,66.1,31.65,0.15,0.05,0.9,1.05,30.1,17.25,11158,25.6,18.05,0.443,23.4,19.55,18.2,21.65,1.45,12.6,26.5,43.8,-86.2434818,32.9314453,0.343,0.156,0.161,0.082
Covington County, Alabama,23.5,76.5,13.1,4.8,73.6,21645.97937,84.25,12.45,0.55,0.4,1.15,1.2,34.95,12.45,37226,46.2,18.55,0.475,28.5,24.8,14.65,24,2.65,14.15,19.75,42.1,-86.4487206,31.2439873,0.338,0.137,0.177,0.075
Crenshaw County, Alabama,26.3,73.7,10.1,3.9,78.6,22051.82699,72.25,22.5,0.5,2.2,1.3,1.3,32.15,17.6,13796,29.9,19.8,0.466,28.15,27.15,15.55,22.1,3.4,11.85,19.95,39.5,-86.3192219,31.7328256,0.357,0.148,0.192,0.072
Cullman County, Alabama,23.1,76.9,13.8,5.4,74,24292.58699,92.9,1.1,0.45,0.35,1.05,4.1,24.45,13.45,80518,36.9,16.65,0.445,21.65,25.3,15,23.3,1.35,14.6,20.45,39.5,-86.8692666,34.1319229,0.324,0.13,0.179,0.064
Dale County, Alabama,17.8,82.2,17.5,5.6,67.75,25547.52032,71.45,19.55,0.55,1.2,2.4,4.85,16.9,10.85,49242,37,14.5,0.424,19.05,26.7,17.4,23.4,0.7,16.05,15.65,35.8,-85.609476,31.4306536,0.353,0.139,0.156,0.073
Dallas County, Alabama,23.2,76.8,14.3,6,76.6,21582.38032,30.3,67.95,0.2,0.35,0.45,0.75,53.35,26.85,43284,43.1,31.9,0.515,47.05,25.55,15.75,22,1.15,9.3,26.25,36.8,-87.1143556,32.3335397,0.414,0.151,0.159,0.137
DeKalb County, Alabama,31.9,68.1,10.9,4.7,70.8,22197.79492,83.5,1.45,1.05,0.25,1.6,12.05,37.8,17.05,69646,17.7,20.45,0.454,28.45,21.55,13.05,20.3,1.7,12.9,30.45,37,-85.803992,34.460929,0.324,0.129,0.233,0.085
Elmore County, Alabama,16.2,83.8,20.2,6.9,72.9,28575.60286,74.85,20.65,0.35,0.55,1.35,2.25,18.3,10.2,78008,45.8,12.75,0.405,17.4,32.65,14.5,26.1,0.15,12.4,14.2,37.3,-86.1427385,32.5972286,0.306,0.123,0.14,0.068
Escambia County, Alabama,27,73,10.9,3.6,71.25,22205.59588,61.8,31.55,3.45,0.3,1.15,1.65,43.45,15.15,37940,28.5,23.6,0.464,36.9,24.9,19.55,23.3,1.35,13.7,17.2,38.3,-87.168429,31.1217475,0.369,0.132,0.193,0.089
Etowah County, Alabama,18.8,81.2,15.8,5.9,73.15,25186.66159,80,14.7,0.3,0.55,1.3,3.1,31,11.65,103790,42.8,16.55,0.453,24.05,29.45,16.7,23.35,0.55,10.65,19.35,40,-86.0344203,34.0476377,0.318,0.141,0.169,0.072
Fayette County, Alabama,25.3,74.7,9.5,3.7,74.5,23459.0254,85.65,11.35,0.2,0.15,1.45,1.15,16.65,14.55,17446,37.9,17,0.418,20.25,25.1,13.25,19.4,1.9,10.95,29.4,42.4,-87.7520486,33.7322485,0.364,0.158,0.159,0.08
Franklin County, Alabama,30.4,69.6,11.8,4.2,68.9,21582.97016,80.3,3.8,0.45,0.2,1.15,14.15,25.85,13.6,31275,24.3,18.95,0.454,23.55,21.4,14.05,21.7,1.8,13.5,27.55,38.5,-87.8428147,34.4419884,0.343,0.142,0.21,0.082
Geneva County, Alabama,27.7,72.3,8,2.9,70,20403.67143,84.95,9.85,0.5,0.25,1.4,2.95,26.1,11.1,26295,30.7,16.2,0.456,19.1,23.35,15.5,22.9,1.45,16.35,20.5,42.2,-85.8243464,31.0908664,0.34,0.136,0.184,0.069
Greene County, Alabama,27.4,72.6,9.9,4.7,79.85,20350.60191,18.7,79.95,0.1,0.15,0.35,0.8,52.65,22.2,9078,71,31,0.484,41.25,22.1,17.1,20.4,2.2,12.1,26.2,41.9,-87.9642005,32.8444965,0.479,0.194,0.177,0.114
Hale County, Alabama,30.1,69.9,10,4.1,73.35,20564.3054,39.85,58.75,0.1,0.25,0.35,0.65,40.35,20.95,16877,54.5,25.15,0.48,33.35,22.7,18.25,18.55,3.35,11.35,25.8,39.1,-87.6230608,32.7527958,0.416,0.163,0.191,0.099
Henry County, Alabama,23.9,76.1,15,6.2,73.6,24738.47397,66.9,29.35,0.15,0.7,0.6,2.3,14.85,16.05,16941,25.5,15.35,0.446,20.75,24,17.75,24.95,2.4,10.55,20.25,42.4,-85.2399712,31.5169779,0.346,0.143,0.174,0.073
Houston County, Alabama,18.1,81.9,19,6.8,73.1,25514.17111,69.55,25.4,0.4,0.85,1.35,2.45,30.7,11.55,99319,40.7,16.4,0.466,24.9,30.25,16.15,27.55,0.6,11.15,14.3,38,-85.2963976,31.1581928,0.349,0.13,0.162,0.07
Jackson County, Alabama,26,74,12,4.6,74.25,24166.69175,90.2,3.4,1.35,0.25,2.65,2.15,25.55,14.9,53062,37.4,17.6,0.438,23.4,22.85,14.1,20.7,1.15,12.9,28.3,41.4,-85.9774003,34.7635224,0.3,0.134,0.184,0.071
Jefferson County, Alabama,13.4,86.6,28.8,10.7,76.95,29249.71302,52.8,41.2,0.2,1.4,1,3.5,24.7,10.6,660339,54.2,15.35,0.492,22.5,35.45,15.65,28.8,0.1,8.35,11.7,37,-86.8965359,33.5534439,0.322,0.117,0.151,0.068
Lamar County, Alabama,24.7,75.3,9.2,3.3,72.15,22183.97111,85.8,11.6,0.2,0,0.7,1.6,21.15,17.35,14501,40.6,17.8,0.495,22.45,24.5,15.15,19.65,1.85,11.2,27.6,42.2,-88.0874309,33.7870852,0.313,0.138,0.168,0.076
Lauderdale County, Alabama,17.1,82.9,21.5,7.9,76.5,23675.60413,86.1,9.95,0.25,0.55,1.15,1.9,33.05,9.15,90629,41.1,17.85,0.461,25.9,28.15,16.25,27.45,0.55,12.25,15.45,39.7,-87.6509966,34.9041221,0.322,0.125,0.152,0.067
Lawrence County, Alabama,24.8,75.2,10.7,3.3,72,26349.21397,77.2,11.75,5.1,0.15,4.05,1.7,16.95,11.65,34216,36.7,13,0.399,17,22.1,15.5,21.7,0.6,15.4,24.65,40.2,-87.3218651,34.5297759,0.377,0.141,0.177,0.081
Lee County, Alabama,14.8,85.2,30.9,13.4,82.1,20755.05937,70.6,22.85,0.25,2.3,1.4,2.65,24.05,9.55,135458,42.8,19.7,0.479,19.05,35.5,15.75,25.25,0.65,10.3,12.5,28.8,-85.3530477,32.6040644,0.32,0.098,0.168,0.063
Limestone County, Alabama,19.6,80.4,20.8,6.3,73.55,27180.95556,79.7,12.75,0.55,0.9,1.3,4.8,24.4,11.25,78429,31.5,13.15,0.435,17.3,31.4,14.3,23.15,0.95,11.05,19.15,38.5,-86.9813995,34.8102387,0.338,0.107,0.164,0.062
Lowndes County, Alabama,26.6,73.4,12.7,3.7,72.35,21425.47334,26.6,71.95,0.25,0.05,0.55,0.5,50.25,17.65,11965,58.5,26.55,0.506,38.7,18.75,17.6,24.7,1.05,11.7,26.15,39.7,-86.6505859,32.147888,0.438,0.193,0.174,0.141
Macon County, Alabama,21.2,78.8,20.9,10.2,85.85,16393.88095,15.25,82.2,0.2,0.2,1.35,0.8,40.85,20.05,21878,65.5,27.7,0.483,35.75,25.6,24.6,25.4,1.4,8.5,14.5,35.8,-85.692887,32.3870267,0.392,0.166,0.157,0.098
Madison County, Alabama,12.2,87.8,37.4,13.5,79.15,30273.56381,67.4,23.55,0.55,2.35,2.35,3.7,20.65,6.85,324429,54.7,11.65,0.454,16.15,43.85,14,23.9,0.2,7.2,10.9,37.1,-86.5510803,34.7642377,0.3,0.117,0.15,0.062
Marengo County, Alabama,20.3,79.7,17.9,5.6,76.6,21394.02159,46,52.15,0.1,0.15,0.6,1.05,33.9,17.55,21118,72.7,24.7,0.484,32.5,26.35,15.55,21.55,3.8,11.25,21.5,40.1,-87.791091,32.2475911,0.416,0.174,0.177,0.094
Marion County, Alabama,29,71,8.8,3.8,72.4,22516.65302,92.7,3.75,0.3,0.15,1.1,1.95,32.45,14.25,30095,23.5,18,0.449,28.45,23.25,14.7,21.85,0.9,12.55,26.85,42,-87.881551,34.1382194,0.33,0.129,0.173,0.091
Marshall County, Alabama,26.3,73.7,14.5,5.4,70.55,23918.09397,84.75,1.5,0.55,0.5,1.3,11.35,36.5,13.3,90472,28.6,20.1,0.462,30.55,25.25,15.45,22.4,1.65,13.05,22.15,38,-86.3216681,34.3095637,0.315,0.136,0.215,0.07
Mobile County, Alabama,17.7,82.3,19.8,6.7,76.3,25380.29143,59.8,34.3,0.7,1.85,1.25,2.1,34.25,12.95,409161,49.6,19.15,0.473,28.8,29.5,17.05,26.9,0.7,11.9,14,36.3,-88.1965684,30.684573,0.339,0.121,0.186,0.084
Monroe County, Alabama,24.6,75.4,11.2,3.1,74.3,23987.55651,55.65,40.8,1.15,0.3,1.35,0.75,42.65,20.45,22929,20.1,25.2,0.483,37.5,25.4,12.5,22.8,1.55,10.65,27.1,39.7,-87.3832656,31.5803324,0.359,0.139,0.184,0.123
Montgomery County, Alabama,15.3,84.7,30.5,12.3,76.15,26278.64921,40.55,53.6,0.2,1.75,1.1,2.75,33.65,11.15,226866,46.4,18.35,0.473,28.05,35.6,17.6,26.35,0.3,6.85,13.3,34.6,-86.2038308,32.2036505,0.353,0.143,0.165,0.077
Morgan County, Alabama,19.2,80.8,19.1,6,74.2,25015.04635,78.7,11.6,0.8,0.65,1.6,6.75,26.7,12.1,117343,41.2,15.2,0.439,22.75,28.55,14.85,25,0.45,10.7,20.5,38.5,-86.8464021,34.4544844,0.285,0.119,0.185,0.07
Perry County, Alabama,28.5,71.5,13.3,4.9,78.35,17184.70381,30.05,68.35,0.2,0.15,0.45,0.85,27.85,16.35,10640,67.4,26.3,0.47,37.4,22.65,26.5,20.1,2.6,6.85,21.3,35.2,-87.2938269,32.6390053,0.389,0.182,0.196,0.129
Pickens County, Alabama,21.3,78.7,11.5,3.4,74.15,23145.62381,55.9,41.95,0.1,0.1,0.65,1.3,37.25,22.15,19637,50.7,26.55,0.453,36.1,20.25,15.25,25.8,1.3,12.1,25.3,40.7,-88.096878,33.2968085,0.385,0.157,0.176,0.09
Pike County, Alabama,20.6,79.4,23.7,9.3,81.95,18791.54635,58.05,36.65,0.75,1.4,1.2,1.95,47.7,16.2,31517,43.3,28.85,0.514,37.35,26.45,20.25,24.5,1.15,9.75,17.95,31.7,-85.9419965,31.7987263,0.36,0.146,0.203,0.07
Randolph County, Alabama,28.4,71.6,12.2,4.8,74.2,21767.3581,75.3,20.9,0.3,0.1,1.2,2.3,34.5,13.15,22708,49.5,20.7,0.489,26.75,22,14.05,22.15,1.9,10.55,29.4,40,-85.4640679,33.2964753,0.342,0.148,0.187,0.089
Russell County, Alabama,23.1,76.9,11.9,3.4,69.9,22917.64064,52.95,40.9,0.25,0.6,2.1,3.2,36.1,17.1,51488,36.1,22.55,0.429,33.65,21.9,19.7,28.85,1,12,16.6,36.4,-85.1869798,32.2898113,0.365,0.132,0.177,0.091
Shelby County, Alabama,8.5,91.5,39.6,12.2,80.9,37336.9181,82.05,10.15,0.2,1.7,1.05,4.85,9.9,5.15,189040,57,6.9,0.434,9.25,42.5,11.6,29.35,0.05,9.1,7.45,36.5,-86.6781042,33.2629366,0.296,0.089,0.121,0.05
St. Clair County, Alabama,20.7,79.3,14.5,4.7,73.2,28778.64603,87.6,8.65,0.35,0.5,1.15,1.8,14.5,9.8,80589,39.4,10.95,0.415,14.15,27.9,14,26.45,0.4,13.2,18.1,38.2,-86.3156631,33.7129627,0.329,0.135,0.159,0.064
Sumter County, Alabama,24.6,75.4,12.8,5.3,80.3,17046.56794,25.05,72.8,0.05,0.2,0.9,1,50.15,30,13515,78.8,37.5,0.512,55.15,20.2,17.25,25.8,1.85,7,27.9,36.9,-88.2000571,32.5974811,0.401,0.16,0.179,0.116
Talladega County, Alabama,24.3,75.7,11.9,4.5,75.35,23309.22603,65.1,31.45,0.25,0.4,1.05,1.7,27.55,15.45,81240,45.8,18.7,0.44,27.45,24.2,16.7,22.2,0.45,11.25,25.2,38.6,-86.1758045,33.3692774,0.384,0.141,0.157,0.081
Tallapoosa County, Alabama,23.9,76.1,15.7,5.6,75.8,24257.81905,70.6,26.1,0.2,0.35,1,1.8,27.4,10.2,41197,51.5,17.4,0.497,27.3,26.6,16.6,21.85,0.55,13.85,20.6,41.2,-85.7995532,32.8633694,0.351,0.14,0.157,0.085
Tuscaloosa County, Alabama,15.3,84.7,26.2,10.5,76.7,23901.16508,65.1,30.1,0.25,1.15,0.9,2.5,24.15,11,186705,45.9,20.1,0.488,22.45,32.45,16.75,24.75,0.3,10.95,14.85,31.2,-87.5228598,33.2902022,0.332,0.105,0.149,0.066
Walker County, Alabama,24.5,75.5,9.7,4.2,71.95,24595.03683,90.55,6.05,0.2,0.2,1.25,1.75,30.15,12.7,67951,32.4,17.75,0.457,25.75,23.9,16.15,23.6,0.5,18.05,17.8,40.5,-87.3010918,33.7915714,0.36,0.151,0.168,0.075
Washington County, Alabama,22,78,9.3,2.8,71.55,28978.25905,64.9,25.4,7.85,0.25,1.15,0.55,27.55,17.85,17396,9,19.85,0.45,27.1,20.6,10.6,20.6,1.8,16.8,29.6,39.4,-88.2020776,31.4069737,0.359,0.134,0.182,0.114
Wilcox County, Alabama,31.5,68.5,13.2,2.4,71.45,19312.26826,26.9,72.4,0.05,0,0.3,0.3,62.1,23.45,12111,46.6,37.5,0.501,50.05,22.35,16.35,25.85,4.55,8.45,22.45,36.7,-87.3022049,31.9903296,0.416,0.181,0.22,0.164
Winston County, Alabama,30.7,69.3,11.1,5.6,73.4,19898.90318,95,0.3,0.45,0.15,1.5,2.6,39.45,14.9,24337,24.1,21.85,0.452,33.2,24.35,12.3,20.2,1.05,9.8,32.25,42.6,-87.3641471,34.1558884,0.357,0.121,0.181,0.098
Aleutians East Borough, Alaska,35.9,64.1,9.6,0.5,51.5,20785.85238,11.75,8.25,22.45,41.45,5.2,10.9,19.25,13.8,3050,91.7,10.4,0.399,18.1,9.05,6.2,7.75,3.5,3.95,69.55,38.5,-161.9507485,55.2437223,0.323,0.077,0.46,0.126
Aleutians West Census Area, Alaska,29.6,70.4,9,1.3,41.85,23386.31429,32.6,7.95,10.9,28,5.95,14.6,6,8.3,5533,88.2,12.35,0.381,4.6,9.75,10,10.2,1.6,9.1,59.4,42,178.338813,51.9594469,0.3,0.067,0.355,0.091
Anchorage Municipality, Alaska,8.1,91.9,33,11.6,71.25,36142.90413,64.15,5.45,6.5,7.15,8.9,7.85,14.15,3.75,286107,39.2,7.85,0.416,11.1,38.65,17.35,25.5,0.25,9.45,8.8,33,-149.2743541,61.177549,0.257,0.07,0.183,0.054
Bethel Census Area, Alaska,21.6,78.4,13.9,5.9,70.85,20254.3108,11.5,0.3,81.5,0.9,5.1,0.7,27.35,6.15,17082,56.2,18.4,0.446,23.45,39.5,17.05,23.25,0.4,10.4,9.45,25.8,-160.1533502,60.9289164,0.315,0.067,0.287,0.152
Bristol Bay Borough, Alaska,9.4,90.6,15.9,3,84.8,40162.94699,50.9,0,28.05,0.4,18.35,2.25,2.25,1.3,839,54.1,5.3,0.343,5.95,34.7,10.95,30.8,2.2,12.9,8.4,38.9,-156.9866122,58.7313725,0.311,0.083,0.227,0.044
Denali Borough, Alaska,4.3,95.7,27.5,6.6,83.1,52011.17492,89.45,1.35,2.7,0.7,4.3,1.45,25.9,0,1677,50,5.35,0.348,6.65,35.55,15.5,19,0,18.1,11.85,42.4,-150.0267191,63.6827316,0.247,0.068,0.193,0.102
Dillingham Census Area, Alaska,17.4,82.6,20.2,8.5,77.05,26117.67873,19.1,0.2,68.1,0.75,9.25,2.65,25.45,3.7,4896,48.1,18.2,0.409,24.4,44.1,16.05,23.15,3.55,6.35,6.85,28.9,-158.6022333,59.824816,0.318,0.082,0.299,0.096
Fairbanks North Star Borough, Alaska,7.1,92.9,27.1,11.3,66.75,31668.73302,73.95,4.95,6.65,2.5,5.9,6.1,9.35,3.45,97212,25,7.8,0.404,10.05,33.3,16,25.15,0.2,15.8,9.6,30.8,-146.5998673,64.6908322,0.291,0.061,0.211,0.062
Haines Borough, Alaska,6,94,33.1,11.7,85.9,21968.40254,82.95,0.4,7.7,0.25,6.2,2.55,12.6,0,2466,100,5.9,0.41,8.05,40.8,19.1,16.45,2.2,12.3,9.1,49.6,-135.5781024,59.0999054,0.296,0.083,0.282,0.081
Juneau City and Borough, Alaska,4.7,95.3,34.7,12.5,73.75,34765.71048,68.6,0.7,11.05,5.8,8.9,4.95,15.35,3.05,31026,37.8,6.6,0.388,9.1,39.15,15.1,27.25,1.3,9.1,8.1,38.6,-134.1787807,58.3727004,0.26,0.063,0.204,0.049
Kenai Peninsula Borough, Alaska,7.9,92.1,22.4,8,74.05,29007.18921,83.4,0.5,6.9,1.25,5,3,14.1,4.9,54226,32.6,9.6,0.42,12.15,28.9,19.4,22.6,2.95,14.55,11.65,40.6,-152.3219731,60.3663727,0.275,0.067,0.23,0.084
Ketchikan Gateway Borough, Alaska,7.5,92.5,24.2,7.6,67.4,32047.14381,67.75,0.35,13.35,6.4,8.25,3.85,17.05,8.65,13304,52.3,8.8,0.394,11,27.95,15.9,25.15,1.45,11.55,18.05,38.3,-131.1066847,55.4499378,0.292,0.072,0.259,0.068
Kodiak Island Borough, Alaska,12.3,87.7,21.8,5.6,70.4,28943.71429,53.5,0.7,13.8,19.35,4.85,7.8,14.55,5.75,13369,50.6,10.75,0.386,13.2,20.2,15.85,23.95,9.5,10.2,20.2,33.5,-153.6309109,57.5536114,0.301,0.061,0.296,0.062
Lake and Peninsula Borough, Alaska,22,78,13.5,5.8,79.05,19915.81461,26.6,0.6,60.25,0.85,9.55,2.15,33.45,20.65,1515,61.9,21.75,0.428,24.85,37.5,18.65,12.85,3.1,14.55,13.35,18,-156.7051884,58.2050652,0.315,0.084,0.359,0.075
Matanuska-Susitna Borough, Alaska,8.2,91.8,20.8,6.3,73.6,30961.34286,83.5,0.9,4.6,1.1,6.3,3.65,12.5,6.05,85547,30.2,10.1,0.387,12.5,30.85,16.95,23.15,0.75,18.45,9.85,34.7,-149.407974,62.1821735,0.298,0.068,0.217,0.08
Nome Census Area, Alaska,16.2,83.8,14.9,4.2,69.65,22686.55461,16.7,1.2,73.35,0.6,6.65,1.45,35.35,16.35,9415,51.6,23.9,0.429,29.8,35.3,17.45,24.1,0.55,12.55,10.1,27.7,-164.1889119,64.7836858,0.356,0.078,0.289,0.116
North Slope Borough, Alaska,26.2,73.8,13.5,8.5,62.5,25863.3108,22.65,1.05,60.5,6.35,7.05,2.45,17.15,1.4,8073,59.2,13.3,0.374,18.15,38.75,20.7,22.55,0,8.3,9.65,26.1,-153.4728302,69.4493427,0.356,0.076,0.241,0.053
Northwest Arctic Borough, Alaska,20.4,79.6,12.5,5.4,69.9,23339.94286,11.5,0.3,80.65,0.8,6,0.75,22.85,6.2,7476,53,19.45,0.389,21.55,34.15,17.95,20.7,0.45,15.7,11.1,25.7,-160.0210864,67.0050655,0.297,0.072,0.292,0.151
Sitka City and Borough, Alaska,7.7,92.3,29.2,11,71.6,33014.02603,63.85,0.8,19.35,3.55,7.5,4.9,8.95,0,8846,38.9,6.85,0.386,7.2,37.7,14.85,23.85,5.95,9.55,8.1,40,-135.3326236,57.1425085,0.282,0.075,0.253,0.056
Southeast Fairbanks Census Area, Alaska,8.9,91.1,20,6.8,72.3,31052.73397,78,1.75,10.3,0.65,5.55,3.75,20.6,3.8,6894,33.3,10.8,0.367,13.5,30.2,18.9,23.75,2.15,14.9,10.15,35.9,-143.2186282,63.8649972,0.317,0.067,0.271,0.112
Valdez-Cordova Census Area, Alaska,7.4,92.6,23.7,7.3,69.25,32254.6908,71.45,0.45,14.8,4.3,6.65,2.35,17.65,6.25,9582,46.3,7.5,0.38,10.3,31.65,15.95,22.95,4.35,13.95,11.1,39,-145.0231406,61.3498403,0.283,0.067,0.244,0.089
Wade Hampton Census Area, Alaska,26.4,73.6,7.7,3.1,71.15,11867.09143,4.25,0,92.05,0.4,3.05,0.2,42.15,11.3,7518,64.1,31.55,0.408,38.55,34.65,21.7,20.35,0.75,11.35,11.35,21.5,-163.1909497,62.2831737,0.276,0.067,0.301,0.215
Yakutat City and Borough, Alaska,9.5,90.5,17.9,4.6,85.55,34073.33746,41.05,0.15,39.15,2.9,14.65,2.15,19.2,0,540,81.8,3.85,0.377,4.95,36.3,16.6,22.65,10.45,5.4,8.6,38.6,-140.2395926,59.9990832,0.316,0.086,0.308,0.093
Yukon-Koyukuk Census Area, Alaska,20.5,79.5,11.5,4.7,68.5,15589.34603,23.15,0.1,68,0.3,6.8,1.75,41.3,9.9,5700,64.2,23.85,0.449,32.75,35.55,17.95,18,1,15.35,12.05,35.1,-151.5768554,65.3761313,0.29,0.082,0.363,0.147
Apache County, Arizona,27.9,72.1,10.3,3.5,73.6,22092.24349,19.9,0.25,72.2,0.35,1.45,5.9,49.05,31,70429,33.5,35.6,0.488,43.65,32.05,23.5,17.85,0.7,15.15,10.75,31.5,-109.4937467,35.3858453,0.318,0.149,0.216,0.196
Cochise County, Arizona,15.2,84.8,21.4,7.8,70.05,25839.18984,58.8,3.9,0.8,1.8,2.8,31.95,24.4,11.2,129479,34.2,16,0.435,23.15,35.75,20.55,25.15,1.15,10.1,7.2,39.7,-109.7541201,31.8817928,0.247,0.09,0.188,0.082
Coconino County, Arizona,13,87,31.1,12.8,76.65,23125.06857,54.8,1.1,27.45,1.25,2.35,13,21.6,13.6,130866,46.4,18,0.443,21.5,32.7,21.3,24.5,0.3,10.05,11.1,30.8,-111.7737277,35.8296919,0.233,0.073,0.226,0.081
Gila County, Arizona,16.6,83.4,15,6.3,70.5,25923.70127,66.45,0.3,14.35,0.35,1.25,17.4,33.35,11.3,52723,27,19.1,0.433,27.05,26.2,24.85,22.8,0.6,15.4,10.1,46.9,-110.8118696,33.7896177,0.263,0.112,0.196,0.094
